Track Name,Album,Year
Bad Boy,Past Masters,1965
Day Tripper,Past Masters,1965
Don't Let Me Down,Past Masters,1969
From Me to You,Past Masters,1963
Hey Jude,Past Masters,1968
I Call Your Name,Past Masters,1964
I Feel Fine,Past Masters,1964
I Want to Hold Your Hand,Past Masters,1963
I'll Get You,Past Masters,1963
I'm Down,Past Masters,1965
"Komm, gib mir deine Hand",Past Masters,1964
Lady Madonna,Past Masters,1968
Long Tall Sally,Past Masters,1964
Matchbox,Past Masters,1964
Paperback Writer,Past Masters,1966
She Loves You,Past Masters,1963
Slow Down,Past Masters,1964
Thank You Girl,Past Masters,1963
Revolution,Past Masters,1968
She's a Woman,Past Masters,1964
This Boy,Past Masters,1963
Sie liebt dich,Past Masters,1964
You Know My Name (Look Up the Number),Past Masters,1970
Rain,Past Masters,1966
Old Brown Shoe,Past Masters,1969
Yes It Is,Past Masters,1965
We Can Work It Out,Past Masters,1965
A Taste of Honey,Please Please Me,1963
Anna (Go to Him),Please Please Me,1963
Ask Me Why,Please Please Me,1963
Baby It's You,Please Please Me,1963
Boys,Please Please Me,1963
Chains,Please Please Me,1963
Do You Want to Know a Secret,Please Please Me,1963
I Saw Her Standing There,Please Please Me,1963
Misery,Please Please Me,1963
P.S. I Love You,Please Please Me,1962
Please Please Me,Please Please Me,1963
A Taste of Honey,Please Please Me,1963
There's a Place,Please Please Me,1963
Twist and Shout,Please Please Me,1963
And Your Bird Can Sing,Revolver,1966
Doctor Robert,Revolver,1966
Eleanor Rigby,Revolver,1966
For No One,Revolver,1966
Good Day Sunshine,Revolver,1966
Got to Get You into My Life,Revolver,1966
"Here, There and Everywhere",Revolver,1966
I Want to Tell You,Revolver,1966
I'm Only Sleeping,Revolver,1966
Love Me Do,Revolver,1966
Love You To,Revolver,1966
She Said She Said,Revolver,1966
Taxman,Revolver,1966
Tomorrow Never Knows,Revolver,1966
Yellow Submarine,Yellow Submarine,1966
Drive My Car,Rubber Soul,1965
Girl,Rubber Soul,1965
I'm Looking Through You,Rubber Soul,1965
If I Needed Someone,Rubber Soul,1965
In My Life,Rubber Soul,1965
Michelle,Rubber Soul,1965
Norwegian Wood (This Bird Has Flown),Rubber Soul,1965
Nowhere Man,Rubber Soul,1965
Run for Your Life,Rubber Soul,1965
Think for Yourself,Rubber Soul,1965
Wait,Rubber Soul,1965
What Goes On,Rubber Soul,1965
The Word,Rubber Soul,1965
You Won't See Me,Rubber Soul,1965
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,1967
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,1967
Fixing a Hole,Sgt. Pepper's Lonely Hearts Club Band,1967
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,1967
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,1967
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,1967
Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,1967
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,1967
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,1967
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,1967
When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,1967
With a Little Help from My Friends,Sgt. Pepper's Lonely Hearts Club Band,1967
Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,1967
Martha My Dear,White Album,1968
Mother Nature's Son,White Album,1968
"Ob-La-Di, Ob-La-Da",White Album,1968
Piggies,White Album,1968
Revolution 1,White Album,1968
Revolution 9,White Album,1968
Rocky Raccoon,White Album,1968
Savoy Truffle,White Album,1968
Sexy Sadie,White Album,1968
While My Guitar Gently Weeps,White Album,1968
Why Don't We Do It in the Road?,White Album,1968
Wild Honey Pie,White Album,1968
Yer Blues,White Album,1968
Back in the U.S.S.R.,White Album,1968
Birthday,White Album,1968
Blackbird,White Album,1968
Cry Baby Cry,White Album,1968
Dear Prudence,White Album,1968
Don't Pass Me By,White Album,1968
Everybody's Got Something to Hide Except Me and My Monkey,White Album,1968
Glass Onion,White Album,1968
Good Night,White Album,1968
Happiness Is a Warm Gun,White Album,1968
Helter Skelter,White Album,1968
Honey Pie,White Album,1968
I Will,White Album,1968
I'm So Tired,White Album,1968
Julia,White Album,1968
"Long, Long, Long",White Album,1968
All I've Got to Do,With the Beatles,1963
All My Loving,With the Beatles,1963
Devil in Her Heart,With the Beatles,1963
Don't Bother Me,With the Beatles,1963
Hold Me Tight,With the Beatles,1963
I Wanna Be Your Man,With the Beatles,1963
It Won't Be Long,With the Beatles,1963
Little Child,With the Beatles,1963
Money (That's What I Want),With the Beatles,1963
Not a Second Time,With the Beatles,1963
Please Mr. Postman,With the Beatles,1963
Roll Over Beethoven,With the Beatles,1963
Till There Was You,With the Beatles,1963
You Really Got a Hold on Me,With the Beatles,1963
All Together Now,Yellow Submarine,1969
Hey Bulldog,Yellow Submarine,1969
It's All Too Much,Yellow Submarine,1969
Only a Northern Song,Yellow Submarine,1969
